218063; Pain_miche_multi_grains_biologique_sac_papier; tablette; farine de blé intégral biologique, levain biologique(eau, farine intégrale), mélange de 9 grains concassés, sel de mer.
219026; Foie_gras_dautruche; congelo; foie gras d'autruche 
219028; Autruche_hachee; congelo; autruche
219031; Cubes_bourguignon; congelo; autruche
219033; Huile_dautruche_camphree; tablette; huile d'autruche, huile de lin biologique, camphre
219037; Savon_huile_dautruche_et_lait_de_chevre_aromatise; tablette;  huile d’autruche, huile de canola, lait de chèvre, huile d’olive, eau distillée, hydroxyde de sodium, arome. 
219054; Pain_depeautre_et_graines_de_lin_biologique_sac_papier; tablette; farine d'épeautre biologique, eau, levain biologique (eau, farine de seigle intégral), graines de lin biologiques, graines de sésames biologique, sel de mer. 
219055; Pain_depeautre_et_graines_de_lin_bio_tranche_sac_plast; tablette; farine d'épeautre biologique, eau, levain biologique (eau, farine de seigle intégral), graines de lin biologiques, graines de sésames biologique, sel de mer.
219059; Pain_aux_noix_de_Grenoble_a_80_bio_tranche_sac_plast; tablette; farine de blé tamisée bio, eau, levain de seigle bio, noix de grenoble, sel de mer
220013; Jus_dArgousier_sans_sucre_sac_glacon; congelo; un jus à base d'argousier et d'eau.
220014; Medaillon_dautruche_filet_mignon; congelo; autruche
220024; Jus_de_Pimbina_sucre; congelo; un jus à base de pimbina, eau, sucre brun de canne et acide ascorbique
220026; Cubes_brochetteraclette_marines_tomate_et_basilic; congelo; autruche,sel,légumes deshydratés,épices irradiées,fécule de pomme de terre modifiée,sucre,acide citrique,saveur artificielle,gomme guard,agent de conditionnement: bioxidede silicium,huile végétale.
220043; Pain_miche_multi_grains_biologique_tranche_sac_plastique; tablette; farine de blé intégral biologique, levain biologique(eau, farine intégrale), mélange de 9 grains concassés, sel de mer.
221021; Tournedos_dautruche_enrobe_de_bacon; congelo; autruche, bacon.
221026; Autruche_fumee_a_froid; congelo; autruche, sel, poivre
221029; Huile_dautruche_naturelle; tablette; huile d'autruche, huile de lin biologique.
221031; OEUF_DAUTRUCHE_DECORATIF_VIDE; tablette; oeuf
221051; Pain_aux_noix_de_Grenoble_a_80_biologique_sac_papier; tablette; farine de blé tamisée bio, eau, levain de seigle bio, noix de grenoble, sel de mer
227002; Cuisse_de_canard; congelo; cuisse de canard
241003; Concombre_anglais_no_1; frigo; emballé
241011; Saucisses_gibier_Sans_Gluten; congelo; wapiti, porc, eau, fécule de tapioca, sel, épice, acide ascorbique, moutarde 
241025; Foie_de_wapiti; congelo; foie
241028; Wapiti_hache; congelo; wapiti
241032; Wapiti_fume; congelo; wapiti, eau, sel, glucose, phosphate de sodium, erythorbate, nitrite, bicarbonate, épice 
241035; Foie_gras_cru_entier; congelo; foie gras
241036; Foie_gras_cuit_en_verrine; frigo; foie gras, sel, poivre
241040; Caramel_a_lerable; congelo; sirop d'érable, glucose, lait condensé sucré
241043; Tartinade_de_Sapin_baumier; tablette; décoction de bourgeons et rameaux de sapin, eau, sucre brun de canne, agar-agar et acide citrique.
241046; Tisane_de_rameaux_de_Prele_des_champs; tablette; rameaux de prêle des champs  séchés
241056; Feves_au_foie_gras; frigo; haricots, bouillon de canard, foie gras de canard,  sirop d'érable, mélasse, oignon, ail,feuille de laurier
241059; Tarte_aux_fraises_cuite; frigo; fraises, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. 
241060; Tarte_aux_fraises_et_a_la_rhubarbe_congelee; congelo; fraises, rhubarbe, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. 
241061; Tarte_aux_pommes_et_au_sucre_a_la_creme_congelee; congelo; pommes, sirop d'érable, crème, sucre, amidon. croute: farine de blé enrichie, graisse végétale, eau, oeuf, lait, vinaigre, sel. 
241077; Sauce_rosee; frigo; tomate, oignon, carotte, ail, crème, pesto, amidon de maïs
241080; Chocolat_au_lait_38_pour_cuisiner; tablette;  sucre de canne roux, beurre de cacao, lait entier en poudre, pâte de cacao, vanille en poudre 
